Season,Name,Team,G,PA,HR,R,RBI,SB,BB%,K%,ISO,BABIP,AVG,OBP,SLG,wOBA,wRC+,BsR,Off,Def,WAR,playerid
2021,Jesus Aguilar,MIA,131,510,22,49,93,0,9.0,18.2,0.198,0.279,0.261,0.329,0.459,0.334,111,-3.4,3.5,-6.7,1.4,11342
2022,Isiah Kiner-Falefa,NYY,142,531,4,66,48,22,6.6,13.6,0.066,0.296,0.261,0.314,0.327,0.285,85,1.1,-7.8,3.6,1.3,16512
2022,C.J. Cron,COL,150,632,29,79,102,0,6.8,25.9,0.210,0.307,0.257,0.315,0.468,0.335,101,0.5,1.5,-10.7,1.3,12546
2021,Ian Happ,CHC,148,535,25,63,66,9,11.6,29.2,0.209,0.281,0.226,0.323,0.434,0.328,105,0.2,3.7,-9.4,1.2,17919
2022,Miguel Rojas,MIA,140,507,6,34,36,9,5.1,12.0,0.087,0.258,0.236,0.283,0.323,0.268,73,-4.0,-19.9,14.3,1.2,7802
2021,Gleyber Torres,NYY,127,516,9,50,51,14,9.7,20.2,0.107,0.314,0.259,0.331,0.366,0.307,94,0.2,-3.3,-2.5,1.2,16997
2022,Alex Verdugo,BOS,152,644,11,75,74,1,6.5,13.4,0.125,0.309,0.280,0.328,0.405,0.319,103,-1.1,0.8,-10.2,1.2,17027
2021,Nick Solak,TEX,127,511,11,57,49,7,6.7,20.9,0.120,0.292,0.242,0.314,0.362,0.299,88,0.4,-6.9,0.6,1.1,19294
2022,Lane Thomas,WSN,146,548,17,62,52,8,7.5,24.1,0.163,0.291,0.241,0.301,0.404,0.308,96,-0.6,-3.0,-4.9,1.1,16939
2022,Adam Frazier,SEA,156,602,3,61,42,11,7.6,12.1,0.072,0.268,0.238,0.301,0.311,0.274,81,-0.2,-13.1,4.4,1.1,15223
2022,Patrick Wisdom,CHC,134,534,25,67,66,8,9.9,34.3,0.220,0.274,0.207,0.298,0.426,0.316,104,0.6,3.0,-10.8,1.1,13602
