HALF.INNING,Outs.Inning,Runs.Inning,Team,Home,Pitcher,SP,R_SP,Estimate,League
MIA201308180 4 1,3,2,MIA,1,bumgm001,4,2,-0.025527509949701856,NL
MIA201308180 5 0,3,1,SFN,0,koeht001,2,1,0.0024498379840475286,NL
MIA201308180 5 1,3,1,MIA,1,bumgm001,3,1,-0.025527509949701856,NL
MIA201308180 6 0,3,0,SFN,0,koeht001,2,0,0.0024498379840475286,NL
MIA201308180 6 1,3,0,MIA,1,moscg001,0,0,0.002520974415194254,NL
MIA201308180 7 0,3,2,SFN,0,dunnm002,1,0,-0.009526801484942886,NL
MIA201308180 7 1,3,1,MIA,1,moscg001,1,0,0.002520974415194254,NL
MIA201308180 8 0,3,0,SFN,0,qualc001,1,0,-0.01566258778876251,NL
MIA201308180 8 1,3,1,MIA,1,rosas001,0,0,-0.007773586718104571,NL
MIA201308180 9 0,3,0,SFN,0,cishs001,0,0,-0.019609777124646247,NL
MIA201308190 1 0,3,0,LAN,0,fernj003,1,0,-0.03248285717953297,NL
MIA201308190 1 1,3,0,MIA,1,ryu-h001,0,0,-0.022930230587203324,NL
MIA201308190 2 0,3,0,LAN,0,fernj003,0,0,-0.03248285717953297,NL
MIA201308190 2 1,3,0,MIA,1,ryu-h001,0,0,-0.022930230587203324,NL
MIA201308190 3 0,3,0,LAN,0,fernj003,0,0,-0.03248285717953297,NL
MIA201308190 3 1,3,2,MIA,1,ryu-h001,1,1,-0.022930230587203324,NL
MIA201308190 4 0,3,0,LAN,0,fernj003,0,0,-0.03248285717953297,NL
MIA201308190 4 1,3,0,MIA,1,ryu-h001,0,0,-0.022930230587203324,NL
MIA201308190 5 0,3,1,LAN,0,fernj003,2,1,-0.03248285717953297,NL
MIA201308190 5 1,3,0,MIA,1,ryu-h001,0,0,-0.022930230587203324,NL
MIA201308190 6 0,3,1,LAN,0,fernj003,1,0,-0.03248285717953297,NL
MIA201308190 6 1,3,1,MIA,1,ryu-h001,3,1,-0.022930230587203324,NL
MIA201308190 7 0,3,0,LAN,0,ramoa001,0,0,-0.005815492419990414,NL
MIA201308190 7 1,3,0,MIA,1,ryu-h001,0,0,-0.022930230587203324,NL
MIA201308190 8 0,3,0,LAN,0,qualc001,0,0,-0.01566258778876251,NL
MIA201308190 8 1,3,3,MIA,1,ryu-h001,3,2,-0.022930230587203324,NL
MIA201308190 9 0,3,0,LAN,0,cishs001,1,0,-0.019609777124646247,NL
MIA201308200 1 0,3,0,LAN,0,turnj002,1,0,-0.00244229114425507,NL
MIA201308200 1 1,3,1,MIA,1,capuc001,1,1,0.009031402096734037,NL
MIA201308200 2 0,3,0,LAN,0,turnj002,2,0,-0.00244229114425507,NL
MIA201308200 2 1,3,0,MIA,1,capuc001,0,0,0.009031402096734037,NL
MIA201308200 3 0,3,0,LAN,0,turnj002,1,0,-0.00244229114425507,NL
MIA201308200 3 1,3,0,MIA,1,capuc001,1,0,0.009031402096734037,NL
MIA201308200 4 0,3,4,LAN,0,turnj002,5,4,-0.00244229114425507,NL
MIA201308200 4 1,3,2,MIA,1,capuc001,3,2,0.009031402096734037,NL
MIA201308200 5 0,3,0,LAN,0,turnj002,1,0,-0.00244229114425507,NL
MIA201308200 5 1,3,0,MIA,1,capuc001,1,0,0.009031402096734037,NL
MIA201308200 6 0,3,0,LAN,0,camia001,1,0,-0.006226527080555122,NL
MIA201308200 6 1,3,1,MIA,1,leagb001,3,1,0.019936728136052687,NL
MIA201308200 7 0,3,0,LAN,0,jennd003,1,0,-0.002815521866487761,NL
MIA201308200 7 1,3,0,MIA,1,withc001,1,0,-0.013516296842755907,NL
MIA201308200 8 0,3,1,LAN,0,jennd003,0,0,-0.002815521866487761,NL
MIA201308200 8 1,3,0,MIA,1,belir001,0,0,0.004581530522457165,NL
MIA201308200 9 0,3,1,LAN,0,webbr001,2,1,-0.008114443062360985,NL
MIA201308200 9 1,3,0,MIA,1,jansk001,0,0,-0.030678621393385352,NL
MIA201308210 1 0,3,0,LAN,0,eovan001,1,0,-0.007985313786555629,NL
MIA201308210 1 1,3,1,MIA,1,greiz001,0,0,-0.023927883754648924,NL
