LA,LS,HR,Predicted,Z,Model_Season,Predict_Season
"(20,25]","(105,110]",712,702.1087166487486,0.37329352825198997,2016,2019
"(20,25]","(110,115]",201,197.8970214943245,0.220576447726409,2016,2019
"(25,30]","(90,95]",77,65.69081256045118,1.3953369187044313,2016,2019
"(25,30]","(95,100]",465,437.1729455696612,1.3308852093534125,2016,2019
"(25,30]","(100,105]",1170,1063.0155778437913,3.2813362086292686,2016,2019
"(25,30]","(105,110]",577,560.8115756035113,0.6835906229688739,2016,2019
"(25,30]","(110,115]",125,123.20481011581485,0.1617322246946868,2016,2019
"(30,35]","(90,95]",99,81.56345625648748,1.9306902050115562,2016,2019
"(30,35]","(95,100]",357,350.4201347301429,0.35149768973272777,2016,2019
"(30,35]","(100,105]",658,640.7831283602467,0.6801406113028323,2016,2019
"(30,35]","(105,110]",338,346.6756314767928,-0.46595013096315063,2016,2019
"(30,35]","(110,115]",51,51.14632300016643,-0.020459988662892788,2016,2019
"(35,40]","(90,95]",37,27.542969256650874,1.8019777416193175,2016,2019
"(35,40]","(95,100]",126,127.64903808306563,-0.145955986349063,2016,2019
"(35,40]","(100,105]",235,254.2615434685539,-1.2079549717113103,2016,2019
"(35,40]","(105,110]",99,123.64773565277173,-2.2165827224652195,2016,2019
"(35,40]","(110,115]",11,11.51934223257828,-0.1530170412075955,2016,2019
"(40,45]","(90,95]",4,4.515089145582624,-0.24240927542267282,2016,2019
"(40,45]","(95,100]",24,21.67090715786597,0.5003204504735228,2016,2019
"(40,45]","(100,105]",44,38.365489852502634,0.909674019921179,2016,2019
"(40,45]","(105,110]",18,26.32718136684926,-1.6229152496340802,2016,2019
"(40,45]","(110,115]",4,3.4779325151502802,0.2799407166915989,2016,2019
"(15,20]","(90,95]",0,0.09690136993214933,-0.3112898487457459,2016,2020
"(15,20]","(95,100]",1,1.3858446483964824,-0.32775943816263436,2016,2020
"(15,20]","(100,105]",6,19.973710525895733,-3.1266723033878496,2016,2020
"(15,20]","(105,110]",46,60.11460964785574,-1.8204504231252339,2016,2020
"(15,20]","(110,115]",23,32.35701682115791,-1.6449517848174815,2016,2020
"(20,25]","(90,95]",3,3.6727778365815307,-0.35105434000957514,2016,2020
"(20,25]","(95,100]",42,55.00723973271697,-1.7537804251855482,2016,2020
"(20,25]","(100,105]",194,269.2854988377476,-4.587803927292165,2016,2020
"(20,25]","(105,110]",239,259.51745476109494,-1.2736209608539169,2016,2020
"(20,25]","(110,115]",52,56.081285352046315,-0.5449893067522349,2016,2020
"(25,30]","(90,95]",18,23.006849038218643,-1.0438447847662864,2016,2020
"(25,30]","(95,100]",164,149.5402212679952,1.182449597651548,2016,2020
"(25,30]","(100,105]",403,383.9312372575167,0.9731858617829666,2016,2020
"(25,30]","(105,110]",238,229.46930884600556,0.5631471819760028,2016,2020
"(25,30]","(110,115]",39,38.397013491547334,0.09731031354745517,2016,2020
"(30,35]","(90,95]",32,29.88655604138318,0.3865919443790437,2016,2020
"(30,35]","(95,100]",147,128.4618690555637,1.6356064978801659,2016,2020
"(30,35]","(100,105]",235,235.69256875670948,-0.045111778670751806,2016,2020
"(30,35]","(105,110]",132,129.24049321212377,0.2427348666907036,2016,2020
"(30,35]","(110,115]",19,18.75365256754742,0.05688596205091321,2016,2020
"(35,40]","(90,95]",12,11.143537694294714,0.25656458637868473,2016,2020
"(35,40]","(95,100]",60,48.7108559235635,1.617514324015338,2016,2020
